Customer_ID,Order_Date,Order_ID,Channel,Product_Category,Order_Value,Is_Repeat_Purchase,Discount_Applied
C9261,2024-01-16,O50063,Organic Search,Moisturizers,38.0,False,0%
C5148,2024-01-16,O50064,Paid Social,Exfoliants,49.14,False,10%
C4916,2024-01-16,O50065,Organic Search,Moisturizers,30.4,False,20%
C153,2024-01-16,O50066,Organic Search,Moisturizers,30.4,False,20%
C1201,2024-01-16,O50067,Organic Search,Exfoliants,54.6,False,0%
C5719,2024-01-16,O50068,Email,Moisturizers,38.0,False,0%
C2585,2024-01-16,O50069,Organic Search,Exfoliants,54.6,False,0%
C8667,2024-01-16,O50070,Paid Social,Moisturizers,38.0,False,0%
C1698,2024-01-16,O50071,Influencer,Cleansers,28.0,False,0%
C1754,2024-01-16,O50072,Paid Search,Cleansers,28.0,False,0%
C3451,2024-01-16,O50073,Paid Search,Cleansers,25.2,False,10%
C4326,2024-01-16,O50074,Organic Search,Exfoliants,43.68,False,20%
C833,2024-01-16,O50075,Paid Social,Exfoliants,54.6,False,0%
C59,2024-01-16,O50076,Paid Social,Cleansers,22.4,False,20%
C2648,2024-01-16,O50077,Paid Search,Exfoliants,54.6,False,0%
C159,2024-01-16,O50078,Paid Social,Moisturizers,34.2,False,10%
C2443,2024-01-16,O50079,Organic Search,Moisturizers,34.2,False,10%
C2427,2024-01-16,O50080,Organic Search,Cleansers,28.0,False,0%
C654,2024-01-16,O50081,Email,Cleansers,28.0,False,0%
C1685,2024-01-16,O50082,Organic Search,Exfoliants,43.68,False,20%
C2533,2024-01-16,O50083,Influencer,Cleansers,28.0,False,0%
C2901,2024-01-16,O50084,Email,Cleansers,25.2,False,10%
C5443,2024-01-16,O50085,Email,Exfoliants,49.14,False,10%
C4066,2024-01-16,O50086,Paid Social,Serums,55.0,False,0%
C635,2024-01-16,O50087,Email,Cleansers,22.4,False,20%
C5729,2024-01-17,O50088,Paid Social,Serums,55.0,False,0%
C388,2024-01-17,O50089,Paid Search,Exfoliants,54.6,False,0%
C1138,2024-01-17,O50090,Influencer,Exfoliants,49.14,False,10%
C6549,2024-01-17,O50091,Paid Search,Moisturizers,38.0,False,0%
C453,2024-01-17,O50092,Paid Social,Moisturizers,38.0,False,0%
C4350,2024-01-17,O50093,Paid Social,Exfoliants,54.6,False,0%
C5140,2024-01-17,O50094,Organic Search,Moisturizers,38.0,False,0%
C9447,2024-01-17,O50095,Paid Social,Cleansers,28.0,False,0%
C8519,2024-01-17,O50096,Influencer,Exfoliants,49.14,False,10%
C3229,2024-01-17,O50097,Organic Search,Cleansers,25.2,False,10%
C5410,2024-01-17,O50098,Paid Search,Serums,55.0,False,0%
C4921,2024-01-17,O50099,Organic Search,Serums,55.0,False,0%
C4845,2024-01-17,O50100,Paid Search,Cleansers,25.2,False,10%
C6212,2024-01-17,O50101,Paid Search,Moisturizers,34.2,False,10%
C4931,2024-01-17,O50102,Organic Search,Moisturizers,38.0,False,0%
C3444,2024-01-17,O50103,Organic Search,Exfoliants,49.14,False,10%
C7619,2024-01-17,O50104,Organic Search,Serums,49.5,False,10%
C2781,2024-01-17,O50105,Paid Search,Exfoliants,49.14,False,10%
C5492,2024-01-17,O50106,Paid Social,Moisturizers,38.0,False,0%
C5086,2024-01-17,O50107,Paid Social,Cleansers,28.0,False,0%
C4012,2024-01-17,O50108,Influencer,Serums,49.5,False,10%
C7462,2024-01-17,O50109,Organic Search,Serums,55.0,False,0%
C6292,2024-01-17,O50110,Organic Search,Cleansers,25.2,False,10%
C91,2024-01-17,O50111,Email,Moisturizers,30.4,False,20%
C6966,2024-01-17,O50112,Paid Social,Moisturizers,34.2,False,10%
C7612,2024-01-17,O50113,Paid Social,Cleansers,22.4,False,20%
C7479,2024-01-17,O50114,Paid Social,Exfoliants,49.14,False,10%
C9158,2024-01-17,O50115,Paid Search,Moisturizers,30.4,False,20%
C8271,2024-01-17,O50116,Organic Search,Moisturizers,38.0,False,0%
C2608,2024-01-17,O50117,Paid Search,Exfoliants,54.6,False,0%
C4051,2024-01-17,O50118,Email,Exfoliants,49.14,False,10%
C7940,2024-01-17,O50119,Paid Search,Exfoliants,54.6,False,0%
C4682,2024-01-17,O50120,Paid Social,Exfoliants,43.68,False,20%
C1321,2024-01-17,O50121,Paid Social,Cleansers,25.2,False,10%
C1053,2024-01-18,O50122,Organic Search,Exfoliants,54.6,False,0%
C1021,2024-01-18,O50123,Paid Social,Exfoliants,43.68,False,20%
C9570,2024-01-18,O50124,Influencer,Cleansers,22.4,False,20%
C9433,2024-01-18,O50125,Organic Search,Cleansers,28.0,False,0%
C6390,2024-01-18,O50126,Email,Moisturizers,38.0,False,0%
C8948,2024-01-18,O50127,Email,Moisturizers,38.0,False,0%
C4472,2024-01-18,O50128,Organic Search,Cleansers,28.0,False,0%
C6625,2024-01-18,O50129,Paid Search,Moisturizers,30.4,False,20%
C8752,2024-01-18,O50130,Paid Social,Exfoliants,49.14,False,10%
C445,2024-01-18,O50131,Paid Social,Exfoliants,43.68,False,20%
C2978,2024-01-18,O50132,Paid Social,Exfoliants,54.6,False,0%
C5356,2024-01-18,O50133,Paid Social,Moisturizers,38.0,False,0%
C6907,2024-01-18,O50134,Paid Social,Cleansers,28.0,False,0%
C8838,2024-01-18,O50135,Paid Social,Moisturizers,38.0,False,0%
C1125,2024-01-18,O50136,Email,Serums,49.5,False,10%
C4052,2024-01-18,O50137,Paid Social,Cleansers,28.0,False,0%
C2069,2024-01-18,O50138,Organic Search,Cleansers,22.4,False,20%
C7620,2024-01-18,O50139,Paid Search,Serums,55.0,False,0%
C9950,2024-01-18,O50140,Influencer,Serums,49.5,False,10%
C2684,2024-01-18,O50141,Influencer,Cleansers,28.0,False,0%
C5112,2024-01-18,O50142,Paid Search,Moisturizers,38.0,False,0%
C3250,2024-01-18,O50143,Paid Social,Serums,49.5,False,10%
C1670,2024-01-18,O50144,Paid Search,Exfoliants,49.14,False,10%
C1984,2024-01-18,O50145,Email,Exfoliants,54.6,False,0%
C8729,2024-01-18,O50146,Organic Search,Exfoliants,49.14,False,10%
C5591,2024-01-18,O50147,Paid Social,Exfoliants,54.6,False,0%
C5935,2024-01-19,O50148,Paid Search,Moisturizers,34.2,False,10%
C7136,2024-01-19,O50149,Paid Social,Exfoliants,49.14,False,10%
C8818,2024-01-19,O50150,Email,Exfoliants,43.68,False,20%
C9708,2024-01-19,O50151,Paid Social,Moisturizers,30.4,False,20%
C1420,2024-01-19,O50152,Paid Social,Exfoliants,49.14,False,10%
C9337,2024-01-19,O50153,Paid Search,Exfoliants,54.6,False,0%
C5326,2024-01-19,O50154,Paid Social,Cleansers,25.2,False,10%
C5577,2024-01-19,O50155,Paid Social,Exfoliants,43.68,False,20%
C9107,2024-01-19,O50156,Paid Social,Moisturizers,38.0,False,0%
C6659,2024-01-19,O50157,Organic Search,Serums,49.5,False,10%
C8042,2024-01-19,O50158,Organic Search,Cleansers,28.0,False,0%
C6626,2024-01-19,O50159,Paid Search,Exfoliants,49.14,False,10%
C7754,2024-01-19,O50160,Paid Search,Exfoliants,43.68,False,20%
C9018,2024-01-19,O50161,Paid Social,Serums,55.0,False,0%
C4119,2024-01-19,O50162,Paid Social,Serums,55.0,False,0%
C8780,2024-01-19,O50163,Influencer,Serums,55.0,False,0%
C7934,2024-01-19,O50164,Paid Social,Exfoliants,49.14,False,10%
C9778,2024-01-19,O50165,Paid Social,Cleansers,28.0,False,0%
C3728,2024-01-19,O50166,Organic Search,Exfoliants,49.14,False,10%
C2074,2024-01-19,O50167,Paid Social,Moisturizers,34.2,False,10%
C2069,2024-01-19,O50168,Paid Search,Serums,55.0,True,0%
C201,2024-01-19,O50169,Paid Search,Exfoliants,54.6,False,0%
C3021,2024-01-19,O50170,Influencer,Exfoliants,43.68,False,20%
C1870,2024-01-19,O50171,Email,Exfoliants,54.6,False,0%
C879,2024-01-19,O50172,Paid Social,Moisturizers,30.4,False,20%
C1396,2024-01-19,O50173,Influencer,Cleansers,25.2,False,10%
C9934,2024-01-19,O50174,Paid Search,Serums,49.5,False,10%
C6233,2024-01-19,O50175,Organic Search,Exfoliants,43.68,False,20%
C7026,2024-01-19,O50176,Paid Social,Serums,49.5,False,10%
C1626,2024-01-19,O50177,Influencer,Cleansers,28.0,False,0%
C1331,2024-01-19,O50178,Paid Social,Cleansers,28.0,False,0%
C44,2024-01-19,O50179,Organic Search,Serums,55.0,False,0%
C535,2024-01-19,O50180,Paid Social,Serums,49.5,False,10%
C1167,2024-01-20,O50181,Paid Search,Moisturizers,34.2,False,10%
C9664,2024-01-20,O50182,Paid Search,Moisturizers,38.0,False,0%
C8923,2024-01-20,O50183,Paid Social,Cleansers,28.0,False,0%
C2331,2024-01-20,O50184,Paid Social,Cleansers,28.0,False,0%
C9326,2024-01-20,O50185,Influencer,Exfoliants,54.6,False,0%
C4983,2024-01-20,O50186,Paid Search,Moisturizers,34.2,False,10%
C8091,2024-01-20,O50187,Organic Search,Exfoliants,43.68,False,20%
C5281,2024-01-20,O50188,Paid Search,Cleansers,28.0,False,0%
C9425,2024-01-20,O50189,Paid Search,Cleansers,25.2,False,10%
C4416,2024-01-20,O50190,Paid Search,Serums,55.0,False,0%
C8503,2024-01-20,O50191,Paid Search,Moisturizers,38.0,False,0%
C9591,2024-01-20,O50192,Organic Search,Moisturizers,30.4,False,20%
C7701,2024-01-20,O50193,Paid Social,Exfoliants,49.14,False,10%
C2635,2024-01-20,O50194,Paid Social,Serums,55.0,False,0%
C6562,2024-01-20,O50195,Email,Exfoliants,54.6,False,0%
C5154,2024-01-20,O50196,Paid Social,Cleansers,25.2,False,10%
C8432,2024-01-20,O50197,Email,Cleansers,22.4,False,20%
C7570,2024-01-20,O50198,Organic Search,Cleansers,28.0,False,0%
C8168,2024-01-20,O50199,Paid Search,Serums,55.0,False,0%
C8999,2024-01-20,O50200,Paid Social,Exfoliants,43.68,False,20%
C7942,2024-01-20,O50201,Paid Social,Moisturizers,34.2,False,10%
C3921,2024-01-20,O50202,Paid Search,Exfoliants,54.6,False,0%
C6685,2024-01-20,O50203,Paid Social,Moisturizers,30.4,False,20%
C7561,2024-01-20,O50204,Influencer,Serums,55.0,False,0%
C4782,2024-01-20,O50205,Organic Search,Exfoliants,43.68,False,20%
C7737,2024-01-20,O50206,Paid Social,Exfoliants,54.6,False,0%
C9821,2024-01-20,O50207,Organic Search,Moisturizers,30.4,False,20%
C4527,2024-01-20,O50208,Email,Moisturizers,38.0,False,0%
C8319,2024-01-20,O50209,Paid Social,Cleansers,25.2,False,10%
C9617,2024-01-20,O50210,Paid Search,Serums,44.0,False,20%
C7317,2024-01-20,O50211,Organic Search,Exfoliants,49.14,False,10%
C8904,2024-01-20,O50212,Organic Search,Moisturizers,30.4,False,20%
C3913,2024-01-20,O50213,Paid Search,Cleansers,25.2,False,10%
C716,2024-01-20,O50214,Paid Social,Exfoliants,43.68,False,20%
C6326,2024-01-21,O50215,Influencer,Serums,49.5,False,10%
C2493,2024-01-21,O50216,Organic Search,Cleansers,25.2,False,10%
C9670,2024-01-21,O50217,Paid Social,Cleansers,22.4,False,20%
C1634,2024-01-21,O50218,Organic Search,Exfoliants,49.14,False,10%
C6718,2024-01-21,O50219,Email,Moisturizers,38.0,False,0%
C4343,2024-01-21,O50220,Paid Social,Serums,49.5,False,10%
C5384,2024-01-21,O50221,Email,Moisturizers,38.0,False,0%
C5189,2024-01-21,O50222,Paid Search,Moisturizers,38.0,False,0%
C8865,2024-01-21,O50223,Paid Social,Cleansers,25.2,False,10%
C4709,2024-01-21,O50224,Influencer,Serums,55.0,False,0%
C4907,2024-01-21,O50226,Influencer,Cleansers,25.2,False,10%
C4807,2024-01-21,O50227,Organic Search,Exfoliants,54.6,False,0%
C6752,2024-01-21,O50228,Paid Search,Serums,55.0,False,0%
C1294,2024-01-21,O50229,Paid Search,Exfoliants,49.14,False,10%
C8154,2024-01-21,O50230,Influencer,Cleansers,28.0,False,0%
C4162,2024-01-21,O50231,Organic Search,Serums,44.0,False,20%
C7623,2024-01-21,O50232,Influencer,Serums,55.0,False,0%
C7238,2024-01-21,O50233,Influencer,Moisturizers,38.0,False,0%
C6952,2024-01-21,O50234,Paid Search,Exfoliants,54.6,False,0%
C6303,2024-01-21,O50235,Email,Cleansers,28.0,False,0%
C5882,2024-01-21,O50236,Paid Search,Moisturizers,38.0,False,0%
C6485,2024-01-21,O50237,Paid Social,Exfoliants,49.14,False,10%
C804,2024-01-21,O50238,Influencer,Serums,44.0,False,20%
C4690,2024-01-21,O50239,Email,Cleansers,22.4,False,20%
C3589,2024-01-21,O50240,Paid Search,Serums,49.5,False,10%
C2241,2024-01-21,O50241,Paid Search,Moisturizers,34.2,False,10%
C5062,2024-01-21,O50242,Email,Cleansers,28.0,False,0%
C2154,2024-01-21,O50243,Paid Social,Exfoliants,49.14,False,10%
C2878,2024-01-21,O50244,Paid Social,Serums,44.0,False,20%
C5995,2024-01-21,O50245,Organic Search,Moisturizers,30.4,False,20%
C4211,2024-01-21,O50246,Influencer,Moisturizers,30.4,False,20%
C5550,2024-01-22,O50247,Email,Exfoliants,54.6,False,0%
C3697,2024-01-22,O50248,Email,Serums,44.0,False,20%
C9132,2024-01-22,O50249,Organic Search,Serums,55.0,False,0%
C8792,2024-01-22,O50250,Paid Social,Exfoliants,49.14,False,10%
C4296,2024-01-22,O50251,Paid Search,Moisturizers,30.4,False,20%
C1776,2024-01-22,O50252,Paid Search,Exfoliants,49.14,False,10%
C9199,2024-01-22,O50253,Paid Social,Serums,49.5,False,10%
C7607,2024-01-22,O50254,Influencer,Exfoliants,54.6,False,0%
C2291,2024-01-22,O50255,Paid Social,Cleansers,22.4,False,20%
C1903,2024-01-22,O50256,Paid Social,Moisturizers,38.0,False,0%
C7433,2024-01-22,O50257,Organic Search,Moisturizers,34.2,False,10%
C8851,2024-01-22,O50258,Organic Search,Serums,55.0,False,0%
C6798,2024-01-22,O50259,Paid Search,Moisturizers,34.2,False,10%
C4584,2024-01-22,O50260,Paid Social,Exfoliants,54.6,False,0%
C3869,2024-01-22,O50261,Email,Cleansers,25.2,False,10%
C8921,2024-01-22,O50262,Influencer,Serums,55.0,False,0%
C4521,2024-01-22,O50263,Paid Social,Cleansers,22.4,False,20%
C7451,2024-01-22,O50264,Paid Social,Cleansers,25.2,False,10%
C350,2024-01-22,O50265,Paid Social,Exfoliants,43.68,False,20%
C9251,2024-01-22,O50266,Paid Social,Moisturizers,34.2,False,10%
C9608,2024-01-22,O50267,Paid Social,Moisturizers,38.0,False,0%
C2418,2024-01-22,O50268,Email,Exfoliants,54.6,False,0%
C2371,2024-01-22,O50269,Influencer,Exfoliants,49.14,False,10%
C1802,2024-01-22,O50270,Paid Search,Cleansers,28.0,False,0%
C3899,2024-01-22,O50271,Paid Search,Cleansers,28.0,False,0%
C2077,2024-01-22,O50272,Paid Search,Exfoliants,49.14,False,10%
C7803,2024-01-22,O50273,Organic Search,Exfoliants,49.14,False,10%
C7406,2024-01-22,O50274,Organic Search,Moisturizers,38.0,False,0%
C8544,2024-01-22,O50275,Paid Social,Serums,55.0,False,0%
C6581,2024-01-23,O50276,Organic Search,Cleansers,25.2,False,10%
C7268,2024-01-23,O50277,Paid Social,Cleansers,25.2,False,10%
C1077,2024-01-23,O50278,Paid Social,Serums,49.5,False,10%
C5328,2024-01-23,O50279,Organic Search,Exfoliants,54.6,False,0%
C8283,2024-01-23,O50280,Paid Search,Cleansers,25.2,False,10%
C9034,2024-01-23,O50281,Paid Search,Cleansers,28.0,False,0%
C3744,2024-01-23,O50282,Organic Search,Moisturizers,38.0,False,0%
C1558,2024-01-23,O50283,Paid Social,Exfoliants,54.6,False,0%
C2501,2024-01-23,O50284,Paid Search,Exfoliants,54.6,False,0%
C1399,2024-01-23,O50285,Paid Social,Cleansers,25.2,False,10%
C2132,2024-01-23,O50286,Paid Search,Exfoliants,49.14,False,10%
C5401,2024-01-23,O50287,Paid Search,Exfoliants,43.68,False,20%
C6930,2024-01-23,O50288,Email,Serums,44.0,False,20%
C9838,2024-01-23,O50289,Paid Social,Cleansers,25.2,False,10%
C2536,2024-01-23,O50290,Paid Search,Cleansers,28.0,False,0%
C9114,2024-01-23,O50291,Organic Search,Serums,49.5,False,10%
C7031,2024-01-23,O50292,Email,Moisturizers,30.4,False,20%
C9122,2024-01-23,O50293,Paid Social,Moisturizers,30.4,False,20%
C4382,2024-01-23,O50294,Paid Social,Exfoliants,49.14,False,10%
C5568,2024-01-23,O50295,Organic Search,Cleansers,28.0,False,0%
C6567,2024-01-23,O50296,Paid Social,Serums,44.0,False,20%
C1504,2024-01-23,O50297,Paid Search,Cleansers,28.0,False,0%
C5586,2024-01-23,O50298,Paid Social,Exfoliants,54.6,False,0%
C9300,2024-01-23,O50299,Paid Search,Moisturizers,38.0,False,0%
C816,2024-01-23,O50300,Paid Search,Exfoliants,49.14,False,10%
C7958,2024-01-23,O50301,Paid Search,Exfoliants,54.6,False,0%
C8395,2024-01-23,O50302,Paid Social,Exfoliants,54.6,False,0%
C9718,2024-01-23,O50303,Organic Search,Serums,55.0,False,0%
C6476,2024-01-23,O50304,Influencer,Cleansers,28.0,False,0%
C3461,2024-01-23,O50305,Email,Serums,55.0,False,0%
C1966,2024-01-23,O50306,Paid Social,Serums,55.0,False,0%
C6230,2024-01-23,O50307,Organic Search,Cleansers,25.2,False,10%
C5803,2024-01-23,O50308,Paid Social,Moisturizers,38.0,False,0%
C308,2024-01-23,O50309,Organic Search,Cleansers,28.0,False,0%
C7034,2024-01-23,O50310,Paid Search,Serums,55.0,False,0%
C6637,2024-01-24,O50311,Paid Social,Exfoliants,43.68,False,20%
C7539,2024-01-24,O50312,Email,Moisturizers,38.0,False,0%
C1735,2024-01-24,O50313,Paid Social,Exfoliants,49.14,False,10%
C6485,2024-01-24,O50314,Email,Serums,55.0,True,0%
C1252,2024-01-24,O50315,Organic Search,Cleansers,25.2,False,10%
C5725,2024-01-24,O50316,Organic Search,Moisturizers,34.2,False,10%
C2420,2024-01-24,O50317,Paid Social,Cleansers,28.0,False,0%
C9870,2024-01-24,O50318,Paid Social,Serums,55.0,False,0%
C8096,2024-01-24,O50319,Organic Search,Exfoliants,49.14,False,10%
C9249,2024-01-24,O50320,Paid Search,Moisturizers,38.0,False,0%
C5180,2024-01-24,O50321,Paid Social,Cleansers,28.0,False,0%
C4962,2024-01-24,O50322,Email,Exfoliants,54.6,False,0%
C1216,2024-01-24,O50323,Paid Social,Exfoliants,54.6,False,0%
C4704,2024-01-24,O50324,Paid Social,Moisturizers,30.4,False,20%
C9734,2024-01-24,O50325,Organic Search,Exfoliants,49.14,False,10%
C673,2024-01-24,O50326,Organic Search,Moisturizers,34.2,False,10%
C5268,2024-01-24,O50327,Paid Search,Exfoliants,43.68,False,20%
C7382,2024-01-24,O50328,Paid Social,Moisturizers,38.0,False,0%
C1382,2024-01-24,O50329,Organic Search,Cleansers,28.0,False,0%
C7173,2024-01-24,O50330,Influencer,Exfoliants,49.14,False,10%
C5963,2024-01-24,O50331,Organic Search,Exfoliants,54.6,False,0%
C5544,2024-01-24,O50332,Paid Search,Cleansers,25.2,False,10%
C5483,2024-01-24,O50333,Paid Social,Cleansers,25.2,False,10%
C4129,2024-01-25,O50334,Paid Search,Serums,44.0,False,20%
C2464,2024-01-25,O50335,Paid Social,Exfoliants,54.6,False,0%
C5732,2024-01-25,O50336,Paid Social,Serums,49.5,False,10%
C2113,2024-01-25,O50337,Paid Search,Moisturizers,38.0,False,0%
C6172,2024-01-25,O50338,Paid Search,Exfoliants,54.6,False,0%
C8625,2024-01-25,O50339,Paid Social,Serums,49.5,False,10%
C299,2024-01-25,O50340,Organic Search,Cleansers,28.0,False,0%
C7968,2024-01-25,O50341,Paid Social,Moisturizers,38.0,False,0%
C4847,2024-01-25,O50342,Email,Cleansers,25.2,False,10%
C8627,2024-01-25,O50343,Paid Social,Exfoliants,49.14,False,10%
C2148,2024-01-25,O50344,Paid Search,Cleansers,28.0,False,0%
C2713,2024-01-25,O50345,Paid Search,Cleansers,28.0,False,0%
C3892,2024-01-25,O50346,Influencer,Serums,49.5,False,10%
C7356,2024-01-25,O50347,Paid Social,Cleansers,22.4,False,20%
C7685,2024-01-25,O50348,Influencer,Cleansers,25.2,False,10%
C9346,2024-01-25,O50349,Influencer,Exfoliants,54.6,False,0%
C6257,2024-01-25,O50350,Organic Search,Exfoliants,54.6,False,0%
C3272,2024-01-25,O50351,Email,Cleansers,28.0,False,0%
C7874,2024-01-25,O50352,Email,Exfoliants,54.6,False,0%
C8453,2024-01-25,O50353,Email,Exfoliants,49.14,False,10%
C4470,2024-01-25,O50354,Organic Search,Exfoliants,43.68,False,20%
C1503,2024-01-25,O50355,Influencer,Cleansers,28.0,False,0%
C5728,2024-01-25,O50356,Influencer,Exfoliants,54.6,False,0%
C6127,2024-01-25,O50357,Paid Social,Moisturizers,38.0,False,0%
C462,2024-01-25,O50358,Paid Social,Cleansers,25.2,False,10%
C5494,2024-01-25,O50359,Email,Cleansers,28.0,False,0%
C7741,2024-01-25,O50360,Paid Search,Cleansers,25.2,False,10%
C7350,2024-01-25,O50361,Paid Search,Moisturizers,38.0,False,0%
C3534,2024-01-25,O50362,Email,Exfoliants,49.14,False,10%
C1822,2024-01-26,O50363,Email,Cleansers,28.0,False,0%
C3907,2024-01-26,O50364,Organic Search,Serums,55.0,False,0%
C1817,2024-01-26,O50365,Email,Exfoliants,49.14,False,10%
C8444,2024-01-26,O50366,Paid Search,Serums,55.0,False,0%
C26,2024-01-26,O50367,Paid Search,Cleansers,28.0,False,0%
C1403,2024-01-26,O50368,Organic Search,Exfoliants,43.68,False,20%
C8915,2024-01-26,O50369,Organic Search,Moisturizers,34.2,False,10%
C6398,2024-01-26,O50370,Email,Cleansers,28.0,False,0%
C6117,2024-01-26,O50371,Paid Social,Cleansers,25.2,False,10%
C5650,2024-01-26,O50372,Paid Social,Serums,55.0,False,0%
C9534,2024-01-26,O50373,Paid Search,Exfoliants,54.6,False,0%
C8946,2024-01-26,O50374,Paid Social,Serums,44.0,False,20%
C7613,2024-01-26,O50375,Influencer,Exfoliants,54.6,False,0%
C2210,2024-01-26,O50376,Paid Social,Serums,55.0,False,0%
C4808,2024-01-26,O50377,Paid Social,Serums,44.0,False,20%
C5171,2024-01-26,O50378,Influencer,Exfoliants,43.68,False,20%
C8898,2024-01-26,O50379,Organic Search,Cleansers,25.2,False,10%
C4688,2024-01-26,O50380,Organic Search,Serums,44.0,False,20%
C5439,2024-01-26,O50381,Paid Social,Serums,55.0,False,0%
C6554,2024-01-26,O50382,Paid Search,Moisturizers,38.0,False,0%
C3061,2024-01-26,O50383,Organic Search,Exfoliants,43.68,False,20%
C8508,2024-01-26,O50384,Paid Social,Cleansers,28.0,False,0%
C7056,2024-01-26,O50385,Paid Search,Moisturizers,34.2,False,10%
C5263,2024-01-26,O50386,Paid Social,Exfoliants,54.6,False,0%
C7306,2024-01-26,O50387,Paid Search,Exfoliants,49.14,False,10%
C5760,2024-01-26,O50388,Organic Search,Serums,44.0,False,20%
C7127,2024-01-26,O50389,Paid Social,Moisturizers,30.4,False,20%
C1230,2024-01-26,O50390,Paid Search,Exfoliants,49.14,False,10%
C2622,2024-01-26,O50391,Influencer,Cleansers,25.2,True,10%
